Folder,Python File Count
p02379,967
p02380,903
p02381,930
p02382,754
p02383,729
p02384,522
p02385,725
p02386,562
p02387,0
p02388,2056
p02389,3398
p02390,3404
p02391,2176
p02392,1342
p02393,2609
p02394,2607
p02395,0
p02396,3121
p02397,2569
p02398,1836
p02399,2231
p02400,2714
p02401,2126
p02402,1820
p02403,2202
p02404,1862
p02405,1741
p02406,2201
p02407,1800
p02408,1739
p02409,1763
p02410,1221
p02411,1475
p02412,1761
p02413,1161
p02414,1039
p02415,702
p02416,1091
p02417,1635
p02418,879
p02419,1519
p02420,851
p02421,906
p02422,882
