filename,LOC,Cyclomatic Complexity,Halstead Volume,Maintainability Index
s082356343.py,10,0,13.93,74.88
s263691840.py,5,0,53.77,72.5
s295817617.py,4,0,77.71,76.22
s299227480.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s371528449.py,6,0,53.77,72.5
s477555198.py,17,1.33,49.83,64.99
s531798554.py,4,0,27.0,79.44
s687420848.py,4,0,70.32,73.8
s825498722.py,3,0,27.0,79.3
s996953065.py,3,0,68.53,76.6
s041023618.py,11,0,206.32,62.84
s136888622.py,10,0,274.02,63.1
s170928938.py,9,0,184.48,65.56
s620663854.py,8,0,242.5,64.6
s643750155.py,21,0,540.48,52.22
s725231104.py,8,0,332.93,66.96
s867076447.py,16,0,152.93,86.14
s899881145.py,7,0,187.3,66.98
s901218275.py,14,0,189.99,63.09
s987693865.py,11,0,366.3,61.1
s010390929.py,19,0,53.77,62.34
s095091093.py,5,0,68.53,69.63
s135656176.py,11,0,57.11,64.31
s142516772.py,10,0,68.53,68.04
s203706589.py,7,0,68.53,66.91
s289863926.py,10,0,85.84,63.21
s304863237.py,22,0,70.32,62.23
s374724809.py,11,0,82.04,63.34
s538701082.py,15,0,68.53,63.76
s736665972.py,12,0,55.51,64.53
s011154230.py,16,2.0,68.53,62.44
s079669196.py,19,0,264.97,54.47
s225119869.py,13,0,102.8,61.7
s312976791.py,14,0,69.76,64.74
s625777569.py,36,2.0,171.18,51.33
s646573817.py,13,0,79.73,63.3
s657725502.py,20,0,135.71,71.14
s700235724.py,25,0,100.08,57.21
s914039331.py,13,4.0,36.0,64.89
s935162273.py,16,0,185.44,59.28
s056071335.py,36,2.5,45.0,72.62
s082272685.py,77,1.86,45.0,48.34
s396380319.py,13,0,4.75,68.8
s476712717.py,37,1.75,45.0,53.84
s543580433.py,18,5.0,77.71,60.3
s670868279.py,64,1.75,45.0,50.61
s771095630.py,42,1.75,33.69,56.33
s831963651.py,14,0,20.9,65.78
s844228197.py,28,3.5,31.02,71.16
s921223902.py,43,2.6,20.9,80.97
s096014979.py,82,5.0,377.86,53.85
s247091116.py,60,3.0,77.71,49.2
s303658684.py,32,3.33,77.71,53.58
s383138786.py,79,2.5,168.56,45.11
s650026017.py,108,5.38,738.0,48.15
s661652946.py,89,1.83,46.53,44.85
s677932982.py,44,2.5,178.41,63.12
s713234703.py,65,3.75,137.61,53.11
s787199211.py,113,2.8,499.76,64.6
s898678511.py,14,8.0,27.0,63.11
s095287762.py,29,3.0,15.51,63.47
s139149899.py,60,4.0,62.27,49.09
s619136212.py,142,1.42,476.48,48.91
s641749477.py,36,2.0,3.0,61.37
s756741257.py,50,8.0,111.01,73.63
s757177729.py,108,3.75,146.72,64.36
s784239905.py,136,2.18,297.25,61.46
s801841137.py,52,2.5,62.27,57.58
s852483591.py,88,3.33,305.53,51.78
s935906381.py,80,1.64,131.69,41.95
s033395837.py,42,1.0,417.65,46.7
s099459554.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s188548412.py,124,5.8,250.77,52.35
s192345507.py,102,2.06,288.64,54.5
s280534400.py,61,2.33,71.7,55.84
s354294286.py,36,2.0,39.86,52.7
s494080455.py,17,0,15.51,64.32
s504080258.py,56,2.5,615.4,54.17
s918339289.py,57,1.2,348.79,41.56
s998928721.py,51,2.17,24.0,54.5
s018978083.py,3,0,4.75,88.56
s229250700.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s265673579.py,12,1.0,15.51,100.0
s282957841.py,4,0,0,100.0
s308162710.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s466621024.py,6,1.0,0,100.0
s512922599.py,4,0,4.75,84.72
s652650215.py,4,0,0,100.0
s840646193.py,2,0,4.75,88.56
s948994129.py,5,0,4.75,84.72
s006670201.py,8,0,33.69,76.04
s035164203.py,4,0,38.04,75.67
s065574246.py,3,0,33.69,78.76
s086421016.py,3,0,27.0,79.44
s143748270.py,6,0,33.69,72.2
s155183050.py,12,1.0,27.0,69.03
s303173206.py,11,0,62.27,95.03
s330797972.py,7,0,33.69,70.74
s342764925.py,3,0,72.0,76.18
s691583660.py,8,1.0,38.04,71.69
s167617880.py,5,0,59.79,72.18
s222227402.py,6,0,59.79,70.45
s279303903.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s435912433.py,5,0,108.0,70.38
s507380205.py,7,0,42.11,73.24
s765289908.py,8,0,59.79,70.45
s838037566.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s897472307.py,6,0,147.16,69.44
s974392022.py,9,0,88.81,69.25
s984210501.py,1,0,31.02,82.85
s101280927.py,7,0,12.0,73.61
s258130823.py,9,0,12.0,71.22
s489329626.py,8,0,12.0,73.47
s554781057.py,9,0,12.0,73.61
s570849137.py,8,0,12.0,72.34
s634967546.py,10,0,12.0,72.34
s780434119.py,8,0,12.0,72.34
s859035826.py,8,0,15.51,72.69
s977378685.py,8,0,23.26,70.19
s980281597.py,12,0,12.0,95.46
s088261359.py,5,0,25.27,74.53
s178465495.py,16,0,50.0,61.03
s255090983.py,7,0,10.0,75.75
s398481785.py,6,0,20.68,75.27
s413915184.py,8,0,10.0,73.03
s584180070.py,7,0,10.0,77.35
s662145499.py,5,0,10.0,77.35
s743841156.py,12,1.5,15.51,70.44
s791577828.py,1,0,10.0,86.16
s967421224.py,4,0,10.0,82.32
s004821086.py,14,0,18.0,65.67
s107203033.py,6,0,15.51,74.29
s127780162.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s179450449.py,4,0,4.75,81.86
s264999662.py,13,0,60.0,62.17
s339999941.py,37,0,142.17,52.82
s428604004.py,7,1.0,4.75,79.74
s441941269.py,17,0,211.52,57.52
s491337102.py,7,0,0,100.0
s570872110.py,3,0,0,100.0
s264857088.py,27,0,108.0,57.57
s343134940.py,5,0,123.19,69.44
s428274811.py,2,0,123.19,78.12
s433923450.py,5,0,89.86,70.27
s504623316.py,6,0,194.51,67.78
s693269647.py,10,3.0,120.0,66.47
s774702552.py,9,0,82.45,67.48
s810268899.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s875752802.py,7,0,89.86,70.4
s908439862.py,8,0,89.86,70.4
s990723931.py,18,0,15.51,84.63
s991709461.py,10,0,28.53,68.59
s993872842.py,8,0,15.51,71.56
s995405685.py,7,0,66.61,69.85
s996883089.py,11,0,15.51,71.56
s997088185.py,SKIPPED,SKIPPED,SKIPPED,SKIPPED
s997655254.py,7,0,15.51,72.82
s997988843.py,7,0,15.51,74.29
s998630458.py,7,0,15.51,72.82
s999951009.py,10,0,4.75,72.91
s006645469.py,4,0,4.75,79.61
s071776650.py,11,0,25.27,68.69
s085864513.py,9,0,4.75,75.02
s116762267.py,4,0,10.0,77.35
s505486004.py,8,0,36.0,68.73
s541731237.py,7,0,15.51,69.31
s608838695.py,6,0,25.27,72.67
s708103246.py,7,0,36.0,68.73
