filename,modelname,prompting,LOC,Cyclomatic Complexity,Halstead Volume,Maintainability Index,Levenshtein Distance
s082356343_pass@5.py,codellama,few,4,0,13.93,78.72,22
s996953065_pass@3.py,codellama,few,4,0,13.93,78.72,35
s725231104_pass@1.py,codellama,few,5,0,274.02,67.55,102
s901218275_pass@1.py,codellama,few,10,0,171.3,63.41,163
s010390929_pass@3.py,codellama,few,14,0,53.77,62.34,35
s142516772_pass@1.py,codellama,few,8,0,72.0,66.76,113
s011154230_pass@1.py,codellama,few,11,2.0,39.86,66.58,125
s625777569_pass@1.py,codellama,few,26,2.0,101.95,56.29,241
s543580433_pass@5.py,codellama,few,18,5.0,77.71,59.69,8
s661652946_pass@5.py,codellama,few,86,1.83,46.53,44.85,30
s095287762_pass@1.py,codellama,few,27,3.0,15.51,64.02,13
s998928721_pass@1.py,codellama,few,39,2.17,31.7,56.61,147
s512922599_pass@1.py,codellama,few,3,0,4.75,84.72,11
s948994129_pass@1.py,codellama,few,2,0,4.75,88.56,11
s006670201_pass@3.py,codellama,few,5,0,33.69,78.76,36
s342764925_pass@1.py,codellama,few,4,0,72.0,73.46,21
s258130823_pass@5.py,codellama,few,9,0,12.0,72.21,36
s859035826_pass@3.py,codellama,few,8,0,15.51,71.56,35
s255090983_pass@1.py,codellama,few,2,0,10.0,86.16,28
s413915184_pass@1.py,codellama,few,2,0,10.0,86.16,79
s004821086_pass@1.py,codellama,few,15,0,18.0,65.02,21
s127780162_pass@1.py,codellama,few,6,0,0,100.0,42
s693269647_pass@3.py,codellama,few,2,2.0,116.0,74.73,53
s908439862_pass@5.py,codellama,few,5,0,133.98,69.19,69
s996883089_pass@1.py,codellama,few,8,0,15.51,71.56,4
s006645469_pass@1.py,codellama,few,4,0,4.75,79.61,15
s541731237_pass@3.py,codellama,few,7,0,15.51,69.31,23
s096048309_pass@1.py,codellama,few,7,0,39.86,69.95,12
s764158731_pass@5.py,codellama,few,14,0,159.91,60.64,39
s044588462_pass@1.py,codellama,few,6,0,77.71,69.65,12
s501232072_pass@1.py,codellama,few,3,0,33.69,78.76,73
s789703302_pass@3.py,codellama,few,5,0,33.69,73.92,21
s083799619_pass@1.py,codellama,few,5,0,4.75,77.88,24
s644599577_pass@3.py,codellama,few,19,0,120.0,57.25,96
s490085492_pass@1.py,codellama,few,4,0,0,100.0,30
s589457088_pass@1.py,codellama,few,6,0,0,100.0,0
s185813191_pass@1.py,codellama,few,5,0,58.6,71.84,25
s285381016_pass@1.py,codellama,few,7,0,58.6,68.65,219
s277592678_pass@3.py,codellama,few,3,0,0,100.0,21
