filename,modelname,prompting,LOC_original,LOC_refactored,LOC_change,CC_original,CC_refactored,CC_change,Halstead_original,Halstead_refactored,Halstead_change,MI_original,MI_refactored,MI_change,Levenshtein_Distance
s082356343_pass@5.py,codellama,few,10,4,decrease,0,0,same,13.93,13.93,same,74.88,78.72,increase,22
s996953065_pass@3.py,codellama,few,3,4,increase,0,0,same,68.53,13.93,decrease,76.6,78.72,increase,35
s725231104_pass@1.py,codellama,few,8,5,decrease,0,0,same,332.93,274.02,decrease,66.96,67.55,increase,102
s901218275_pass@1.py,codellama,few,14,10,decrease,0,0,same,189.99,171.3,decrease,63.09,63.41,increase,163
s010390929_pass@3.py,codellama,few,19,14,decrease,0,0,same,53.77,53.77,same,62.34,62.34,same,35
s142516772_pass@1.py,codellama,few,10,8,decrease,0,0,same,68.53,72.0,increase,68.04,66.76,decrease,113
s011154230_pass@1.py,codellama,few,16,11,decrease,2.0,2.0,same,68.53,39.86,decrease,62.44,66.58,increase,125
s625777569_pass@1.py,codellama,few,36,26,decrease,2.0,2.0,same,171.18,101.95,decrease,51.33,56.29,increase,241
s543580433_pass@5.py,codellama,few,18,18,same,5.0,5.0,same,77.71,77.71,same,60.3,59.69,decrease,8
s661652946_pass@5.py,codellama,few,89,86,decrease,1.83,1.83,same,46.53,46.53,same,44.85,44.85,same,30
s095287762_pass@1.py,codellama,few,29,27,decrease,3.0,3.0,same,15.51,15.51,same,63.47,64.02,increase,13
s998928721_pass@1.py,codellama,few,51,39,decrease,2.17,2.17,same,24.0,31.7,increase,54.5,56.61,increase,147
s512922599_pass@1.py,codellama,few,4,3,decrease,0,0,same,4.75,4.75,same,84.72,84.72,same,11
s948994129_pass@1.py,codellama,few,5,2,decrease,0,0,same,4.75,4.75,same,84.72,88.56,increase,11
s006670201_pass@3.py,codellama,few,8,5,decrease,0,0,same,33.69,33.69,same,76.04,78.76,increase,36
s342764925_pass@1.py,codellama,few,3,4,increase,0,0,same,72.0,72.0,same,76.18,73.46,decrease,21
s258130823_pass@5.py,codellama,few,9,9,same,0,0,same,12.0,12.0,same,71.22,72.21,increase,36
s859035826_pass@3.py,codellama,few,8,8,same,0,0,same,15.51,15.51,same,72.69,71.56,decrease,35
s255090983_pass@1.py,codellama,few,7,2,decrease,0,0,same,10.0,10.0,same,75.75,86.16,increase,28
s413915184_pass@1.py,codellama,few,8,2,decrease,0,0,same,10.0,10.0,same,73.03,86.16,increase,79
s004821086_pass@1.py,codellama,few,14,15,increase,0,0,same,18.0,18.0,same,65.67,65.02,decrease,21
s693269647_pass@3.py,codellama,few,10,2,decrease,3.0,2.0,decrease,120.0,116.0,decrease,66.47,74.73,increase,53
s908439862_pass@5.py,codellama,few,8,5,decrease,0,0,same,89.86,133.98,increase,70.4,69.19,decrease,69
s996883089_pass@1.py,codellama,few,11,8,decrease,0,0,same,15.51,15.51,same,71.56,71.56,same,4
s006645469_pass@1.py,codellama,few,4,4,same,0,0,same,4.75,4.75,same,79.61,79.61,same,15
s541731237_pass@3.py,codellama,few,7,7,same,0,0,same,15.51,15.51,same,69.31,69.31,same,23
s096048309_pass@1.py,codellama,few,7,7,same,0,0,same,39.86,39.86,same,71.41,69.95,decrease,12
s764158731_pass@5.py,codellama,few,12,14,increase,0,0,same,159.91,159.91,same,61.54,60.64,decrease,39
s044588462_pass@1.py,codellama,few,5,6,increase,0,0,same,77.71,77.71,same,71.38,69.65,decrease,12
s789703302_pass@3.py,codellama,few,4,5,increase,0,0,same,49.83,33.69,decrease,74.85,73.92,decrease,21
s083799619_pass@1.py,codellama,few,4,5,increase,0,0,same,4.75,4.75,same,79.61,77.88,decrease,24
s644599577_pass@3.py,codellama,few,21,19,decrease,0,0,same,120.0,120.0,same,57.79,57.25,decrease,96
s490085492_pass@1.py,codellama,few,7,4,decrease,0,0,same,0,0,same,100.0,100.0,same,30
s589457088_pass@1.py,codellama,few,6,6,same,0,0,same,0,0,same,100.0,100.0,same,0
s185813191_pass@1.py,codellama,few,8,5,decrease,0,0,same,43.02,58.6,increase,69.59,71.84,increase,25
s285381016_pass@1.py,codellama,few,24,7,decrease,0,0,same,128.93,58.6,decrease,54.31,68.65,increase,219
s277592678_pass@3.py,codellama,few,6,3,decrease,0,0,same,0,0,same,100.0,100.0,same,21
s569329761_pass@1.py,codellama,few,11,8,decrease,0,0,same,0,0,same,100.0,100.0,same,19
s353862024_pass@5.py,codellama,few,22,22,same,0,0,same,345.95,345.95,same,49.12,48.44,decrease,77
s323772822_pass@1.py,codellama,few,12,9,decrease,0,0,same,66.61,66.61,same,62.48,65.21,increase,75
s214129181_pass@1.py,codellama,few,13,11,decrease,0,0,same,4.75,4.75,same,72.64,72.64,same,6
s370902130_pass@1.py,codellama,few,32,26,decrease,0,0,same,43.02,43.02,same,67.55,55.41,decrease,592
s373821703_pass@5.py,codellama,few,16,11,decrease,0,0,same,28.53,15.51,decrease,64.57,68.14,increase,87
s421803874_pass@5.py,codellama,few,10,10,same,0,0,same,20.9,20.9,same,68.4,68.4,same,2
s368208835_pass@1.py,codellama,few,6,5,decrease,0,0,same,4.75,4.75,same,77.88,79.61,increase,19
s040490758_pass@1.py,codellama,few,9,11,increase,0,0,same,25.27,4.75,decrease,68.83,72.91,increase,34
s051392851_pass@1.py,codellama,few,8,7,decrease,0,0,same,15.51,15.51,same,74.42,72.96,decrease,8
s946875575_pass@1.py,codellama,few,7,6,decrease,0,0,same,13.93,15.51,increase,73.29,74.42,increase,19
s171484205_pass@3.py,codellama,few,9,4,decrease,0,0,same,15.51,4.75,decrease,70.44,81.72,increase,40
s250120618_pass@1.py,codellama,few,19,16,decrease,0,0,same,39.86,39.86,same,86.79,62.2,decrease,119
s017269283_pass@1.py,codellama,few,12,10,decrease,0,0,same,15.51,15.51,same,69.31,69.31,same,25
s198495041_pass@1.py,codellama,few,15,12,decrease,0,0,same,25.27,15.51,decrease,64.64,66.12,increase,68
s118986297_pass@3.py,codellama,few,13,10,decrease,0,0,same,69.76,86.04,increase,62.12,63.83,increase,118
s245865840_pass@3.py,codellama,few,17,13,decrease,0,0,same,69.76,69.76,same,62.12,62.12,same,4
s820095650_pass@3.py,codellama,few,25,15,decrease,0,0,same,105.49,77.71,decrease,55.19,58.71,increase,172
s965611824_pass@1.py,codellama,few,12,11,decrease,0,0,same,156.08,156.08,same,58.31,58.31,same,171
s082356343_pass@3.py,codellama,one,10,4,decrease,0,0,same,13.93,13.93,same,74.88,78.72,increase,22
s996953065_pass@3.py,codellama,one,3,3,same,0,0,same,68.53,68.53,same,76.6,76.6,same,9
s725231104_pass@3.py,codellama,one,8,5,decrease,0,0,same,332.93,274.02,decrease,66.96,67.55,increase,35
s901218275_pass@1.py,codellama,one,14,10,decrease,0,0,same,189.99,189.99,same,63.09,63.09,same,23
s142516772_pass@3.py,codellama,one,10,8,decrease,0,0,same,68.53,68.53,same,68.04,66.77,decrease,10
s625777569_pass@5.py,codellama,one,36,23,decrease,2.0,2.0,same,171.18,101.95,decrease,51.33,57.75,increase,519
s543580433_pass@1.py,codellama,one,18,16,decrease,5.0,5.0,same,77.71,77.71,same,60.3,60.3,same,1
s661652946_pass@3.py,codellama,one,89,89,same,1.83,1.83,same,46.53,46.53,same,44.85,44.72,decrease,8
s095287762_pass@3.py,codellama,one,29,24,decrease,3.0,3.0,same,15.51,15.51,same,63.47,64.59,increase,392
s354294286_pass@3.py,codellama,one,36,38,increase,2.0,2.0,same,39.86,39.86,same,52.7,52.7,same,57
s512922599_pass@3.py,codellama,one,4,4,same,0,0,same,4.75,4.75,same,84.72,84.72,same,24
s948994129_pass@1.py,codellama,one,5,3,decrease,0,0,same,4.75,4.75,same,84.72,84.72,same,4
s006670201_pass@1.py,codellama,one,8,4,decrease,0,0,same,33.69,33.69,same,76.04,76.04,same,27
s342764925_pass@1.py,codellama,one,3,3,same,0,0,same,72.0,88.0,increase,76.18,75.57,decrease,36
