filename,problem_id,passed,total,status,error_message
s082356343.py,ITP1_10_A,8,8,Passed,
s263691840.py,ITP1_10_A,8,8,Passed,
s295817617.py,ITP1_10_A,8,8,Passed,
s299227480.py,ITP1_10_A,8,8,Passed,
s371528449.py,ITP1_10_A,8,8,Passed,
s477555198.py,ITP1_10_A,8,8,Passed,
s531798554.py,ITP1_10_A,8,8,Passed,
s687420848.py,ITP1_10_A,8,8,Passed,
s825498722.py,ITP1_10_A,8,8,Passed,
s996953065.py,ITP1_10_A,8,8,Passed,
s041023618.py,ITP1_10_B,4,4,Passed,
s136888622.py,ITP1_10_B,4,4,Passed,
s170928938.py,ITP1_10_B,4,4,Passed,
s620663854.py,ITP1_10_B,4,4,Passed,
s643750155.py,ITP1_10_B,4,4,Passed,
s725231104.py,ITP1_10_B,4,4,Passed,
s867076447.py,ITP1_10_B,4,4,Passed,
s899881145.py,ITP1_10_B,4,4,Passed,
s901218275.py,ITP1_10_B,4,4,Passed,
s987693865.py,ITP1_10_B,4,4,Passed,
s010390929.py,ITP1_10_C,4,4,Passed,
s095091093.py,ITP1_10_C,4,4,Passed,
s135656176.py,ITP1_10_C,4,4,Passed,
s142516772.py,ITP1_10_C,4,4,Passed,
s203706589.py,ITP1_10_C,4,4,Passed,
s289863926.py,ITP1_10_C,4,4,Passed,
s304863237.py,ITP1_10_C,4,4,Passed,
s374724809.py,ITP1_10_C,4,4,Passed,
s538701082.py,ITP1_10_C,4,4,Passed,
s736665972.py,ITP1_10_C,4,4,Passed,
s011154230.py,ITP1_10_D,14,14,Passed,
s079669196.py,ITP1_10_D,14,14,Passed,
s225119869.py,ITP1_10_D,14,14,Passed,
s312976791.py,ITP1_10_D,14,14,Passed,
s625777569.py,ITP1_10_D,14,14,Passed,
s646573817.py,ITP1_10_D,14,14,Passed,
s657725502.py,ITP1_10_D,14,14,Passed,
s700235724.py,ITP1_10_D,14,14,Passed,
s914039331.py,ITP1_10_D,14,14,Passed,
s935162273.py,ITP1_10_D,14,14,Passed,
s056071335.py,ITP1_11_A,14,14,Passed,
s082272685.py,ITP1_11_A,14,14,Passed,
s396380319.py,ITP1_11_A,14,14,Passed,
s476712717.py,ITP1_11_A,14,14,Passed,
s543580433.py,ITP1_11_A,14,14,Passed,
s670868279.py,ITP1_11_A,14,14,Passed,
s771095630.py,ITP1_11_A,14,14,Passed,
s831963651.py,ITP1_11_A,14,14,Passed,
s844228197.py,ITP1_11_A,14,14,Passed,
s921223902.py,ITP1_11_A,14,14,Passed,
s096014979.py,ITP1_11_B,3,3,Passed,
s247091116.py,ITP1_11_B,3,3,Passed,
s303658684.py,ITP1_11_B,3,3,Passed,
s383138786.py,ITP1_11_B,3,3,Passed,
s650026017.py,ITP1_11_B,3,3,Passed,
s661652946.py,ITP1_11_B,3,3,Passed,
s677932982.py,ITP1_11_B,3,3,Passed,
s713234703.py,ITP1_11_B,3,3,Passed,
s787199211.py,ITP1_11_B,3,3,Passed,
s898678511.py,ITP1_11_B,3,3,Passed,
s095287762.py,ITP1_11_C,35,35,Passed,
s139149899.py,ITP1_11_C,35,35,Passed,
s619136212.py,ITP1_11_C,35,35,Passed,
s641749477.py,ITP1_11_C,35,35,Passed,
s756741257.py,ITP1_11_C,35,35,Passed,
s757177729.py,ITP1_11_C,35,35,Passed,
